"ProjectName","Total.contributing.area.to.outlet..ha.","Precipitation..m.3.yr.","Precipitation.per.area..mm.yr.","Water.discharge..m.3.yr.","Water.discharge.per.area..mm.yr.","Total.hillslope.soil.loss..tonne.yr.","Total.hillslope.soil.loss.per.area..kg.ha.yr.","Total.channel.soil.loss..tonne.yr.","Total.channel.soil.loss.per.area..kg.ha.yr.","Sediment.discharge..tonne.yr.","Sediment.discharge.per.area..kg.ha.yr.","Sediment.delivery.ratio.for.watershed","Phosphorus.discharge..kg.yr.","Phosphorus.discharge.per.area..kg.ha.yr.","Watershed","Scenario"
"portland_BlazedAlder_ModSevS.202009.chn_cs50",1800.13,53649291,2980.30092271114,46122235,2562.16134390294,16170.4,8982.90679006516,9826.5,5458.77242199174,18877.2,10486.5759695133,0.726,19067.4,10.5922350052496,"BlazedAlder","ModSevS_202009"
"portland_FirCreek_ModSevS.202009.chn_cs150",1344.48,43230995,3215.44351719624,33498029,2491.52304236582,27573.6,20508.7468761157,7659,5696.62620492681,25383.4,18879.7155777698,0.72,25523.9,18.9842169463287,"FirCreek","ModSevS_202009"
"portland_BRnearMultnoma_ModSevS.202009.chn_cs200",11881.78,327557402,2756.80413204082,298379944,2511.23942708921,265984.6,22385.9219746536,463402.7,39001.1176776544,43090.9,3626.63674971258,0.059,44321.2,3.73018184144127,"BRnearMultnoma","ModSevS_202009"
"portland_NorthFork_ModSevS.202009.chn_cs140",2022.25,60643198,2998.79826925454,49581665,2451.80689825689,10901.1,5390.57979972803,11336.9,5606.08233403387,16444.9,8131.98170354803,0.739,16670.1,8.24334281122512,"NorthFork","ModSevS_202009"
"portland_LittleSandy_ModSevS.202009.chn_cs110",5739.2,166962930,2909.16730554781,123896862,2158.78279202676,31706,5524.4633398383,7170.5,1249.39015890716,11446,1994.35461388347,0.294,11997.4,2.09043072205185,"LittleSandy","ModSevS_202009"
"portland_SouthFork_ModSevS.202009.chn_cs160",3840.28,118266464,3079.63127688606,94793715,2468.4063401627,30699.5,7994.0785567719,3600.9,937.666003520577,8575.4,2233.01425937692,0.25,8993.2,2.34180840980345,"SouthFork","ModSevS_202009"
"portland_SouthFork_HighSevS.202009.chn_cs160",3840.28,118266464,3079.63127688606,96696081,2517.94350932745,132181.7,34419.8079306717,15339.5,3994.37020217276,30501.6,7942.54585603133,0.207,30924.9,8.05277219369421,"SouthFork","HighSevS_202009"
"portland_CedarCreek_HighSevS.202009.chn_cs150",1927.9,59256100,3073.60858965714,50575152,2623.32859588153,113592.5,58920.3278178329,605.4,314.020436744644,10090.5,5233.9332952954,0.088,10301.4,5.3433269360444,"CedarCreek","HighSevS_202009"
"portland_BlazedAlder_HighSevS.202009.chn_cs50",1800.13,53649291,2980.30092271114,46966024,2609.03512524096,71490.5,39714.0762056074,3753.3,2085.01608217184,49900.9,27720.7201702099,0.663,50092.7,27.8272680306422,"BlazedAlder","HighSevS_202009"
"portland_FirCreek_HighSevS.202009.chn_cs150",1344.48,43230995,3215.44351719624,34127047,2538.30826788052,108975.6,81054.0878257765,9847.1,7324.09556110913,71475.4,53162.114720933,0.602,71617.3,53.2676573842675,"FirCreek","HighSevS_202009"
"portland_BRnearMultnoma_HighSevS.202009.chn_cs200",11881.78,327557402,2756.80413204082,304599948,2563.58851956525,979682.4,82452.4944915661,1152689.8,97013.2252911601,116668.6,9819.11801093775,0.055,117914.8,9.9240012860026,"BRnearMultnoma","HighSevS_202009"
"portland_NorthFork_HighSevS.202009.chn_cs140",2022.25,60643198,2998.79826925454,50635894,2503.93838546174,47896.5,23684.7570775127,29719.9,14696.4519718136,51054.3,25246.2850785017,0.658,51282.8,25.3592780318952,"NorthFork","HighSevS_202009"
"portland_LittleSandy_HighSevS.202009.chn_cs110",5739.2,166962930,2909.16730554781,127060904,2213.91315862838,137144.9,23896.170197937,26067.4,4541.99191524951,43645.2,7604.75327571787,0.267,44207.6,7.70274602732088,"LittleSandy","HighSevS_202009"
