"ProjectName","Scenario","Watershed","Total.contributing.area.to.outlet..ha.","Precipitation..m.3.yr.","Precipitation.per.area..mm.yr.","Stream.discharge..m.3.yr.","Stream.discharge.per.area..mm.yr.","Total.hillslope.soil.loss..tonne.yr.","Total.hillslope.soil.loss.per.area..kg.ha.yr.","Total.channel.soil.loss..tonne.yr.","Total.channel.soil.loss.per.area..kg.ha.yr.","Sediment.discharge..tonne.yr.","Sediment.discharge.per.area..kg.ha.yr.","Sediment.delivery.ratio.for.watershed","Phosphorus.discharge..kg.yr.","Phosphorus.discharge.per.area..kg.ha.yr.","Particle.Fraction.Under.0.016.mm","Sediment.Yield.of.Particles.Under.0.016.mm..tonne.yr.","Sediment.Yield.of.Particles.Under.0.016.mm.per.area..kg.ha.yr."
"lt_202010_1_Unnamed_Creek_at_Tahoe_City_State_Park_HighSev","HighSev","1_Unnamed_Creek_at_Tahoe_City_State_Park",268.53,2886166,1074.80207053216,2069668,770.73995456746,646.4,2407.17983093137,35.5,132.201243808885,672,2502.51368562172,0.986,748.1,2.78590846460358,0.1569,105.4368,392.644397274048
"lt_202010_1_Unnamed_Creek_at_Tahoe_City_State_Park_LowSev","LowSev","1_Unnamed_Creek_at_Tahoe_City_State_Park",268.53,2886166,1074.80207053216,1830331,681.611365582989,7.2,26.8126466316613,30.2,112.464156705024,37.5,139.649201206569,1.001,49.3,0.183592149852903,0.1852,6.945,25.8630320634566
"lt_202010_1_Unnamed_Creek_at_Tahoe_City_State_Park_ModSev","ModSev","1_Unnamed_Creek_at_Tahoe_City_State_Park",268.53,2886166,1074.80207053216,1962395,730.791717871374,67.7,252.113357911593,33.4,124.380888541318,100.9,375.749450713142,0.998,119.4,0.444643056641716,0.1673,16.88057,62.8628831043087
"lt_202010_1_Unnamed_Creek_at_Tahoe_City_State_Park_PrescFire","PrescFire","1_Unnamed_Creek_at_Tahoe_City_State_Park",268.53,2886166,1074.80207053216,1651268,614.928685807917,4.5,16.7579041447883,27.2,101.292220608498,31.7,118.050124753286,1.002,42.1,0.156779503221242,0.1863,5.90571,21.9927382415373
"lt_202010_1_Unnamed_Creek_at_Tahoe_City_State_Park_SimFire.fccsFuels_obs_cli","SimFire_fccsFuels_obs_cli","1_Unnamed_Creek_at_Tahoe_City_State_Park",268.53,2886166,1074.80207053216,1915269,713.242095855212,27.1,100.919822738614,32,119.167318362939,59.2,220.459538971437,1.001,73.4,0.273340036494991,0.1757,10.40144,38.7347409972815
"lt_202010_1_Unnamed_Creek_at_Tahoe_City_State_Park_SimFire.landisFuels_fut_cli_A2","SimFire_landisFuels_fut_cli_A2","1_Unnamed_Creek_at_Tahoe_City_State_Park",268.53,3081448,1147.52467135888,2020952,752.598219938182,141.2,525.825792276468,32.8,122.146501322012,172.3,641.64152981045,0.99,198.1,0.737720180240569,0.1633,28.13659,104.780061818046
"lt_202010_1_Unnamed_Creek_at_Tahoe_City_State_Park_SimFire.landisFuels_obs_cli","SimFire_landisFuels_obs_cli","1_Unnamed_Creek_at_Tahoe_City_State_Park",268.53,2886166,1074.80207053216,1906918,710.132201243809,25.8,96.0786504301196,32,119.167318362939,57.9,215.618366662943,1.001,71.9,0.267754068446729,0.1757,10.17303,37.884147022679
"lt_202010_1_Unnamed_Creek_at_Tahoe_City_State_Park_Thinn85","Thinn85","1_Unnamed_Creek_at_Tahoe_City_State_Park",268.53,2886166,1074.80207053216,1734417,645.893196290917,0.6,2.23438721930511,28.6,106.505790786877,29.1,108.367780136298,0.998,39.8,0.148214352213905,0.1911,5.56101,20.7090827840465
"lt_202010_1_Unnamed_Creek_at_Tahoe_City_State_Park_Thinn93","Thinn93","1_Unnamed_Creek_at_Tahoe_City_State_Park",268.53,2886166,1074.80207053216,1733698,645.625442222471,0.5,1.86198934942092,28.6,106.505790786877,29,107.995382266413,0.998,39.6,0.147469556474137,0.1911,5.5419,20.6379175511116
"lt_202010_1_Unnamed_Creek_at_Tahoe_City_State_Park_Thinn96","Thinn96","1_Unnamed_Creek_at_Tahoe_City_State_Park",268.53,2886166,1074.80207053216,1733615,645.59453319927,0.4,1.48959147953674,28.6,106.505790786877,28.9,107.622984396529,0.998,39.6,0.147469556474137,0.1908,5.51412,20.5344654228578
